Myself,Tasks,Free,Mastery,Competent,Learn,Group,Talk,Care,Satisfied,Meaning,Stay,Ideas,Values,Understands,Encourages,Listens,Network,Friendly,Team,Appreciated,Responsibilities,Work,Impact,Strong,Drained,Frustrated,What year were you born in?,What is your gender?,Team Name,Well-being,Engagement,Autonomy,Belonging,Competence,Needs,Leadership,Management,Returns,Rewards,Status
5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,2,3,5,3,4,5,7,1,1,,,LAZARO CARDENAS 2,5.0,5.0,4.3,4.7,5.0,4.6,4.7,4.5,5.0,3.5,5.0
5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,3,2,3,5,5,5,4,4,5,7,2,1,,,LAZARO CARDENAS 2,4.8,5.0,5.0,5.0,5.0,5.0,2.3,4.2,3.5,4.0,5.0
3,4,5,4,5,4,4,5,3,4,4,4,5,4,4,5,5,4,4,3,4,4,5,3,5,4,4,,,LAZARO CARDENAS 2,3.2,4.2,4.0,4.0,4.5,4.1,4.7,4.0,4.0,4.5,3.5
5,5,4,4,5,5,5,5,3,5,4,5,5,5,5,5,5,5,4,5,5,1,1,5,7,1,1,,,LAZARO CARDENAS 2,5.0,4.8,4.7,4.3,4.5,4.5,5.0,3.7,5.0,1.0,5.0
2,2,2,5,5,4,3,4,4,5,4,5,5,4,5,4,4,4,4,5,1,2,1,5,5,6,5,,,CRM_DIxtapaluca,2.5,4.6,2.0,3.7,5.0,3.4,4.3,2.8,4.0,1.5,3.0
3,4,3,4,4,4,4,3,5,4,4,4,4,4,5,5,5,4,4,3,4,4,4,4,7,3,3,,,CRM_DIxtapaluca,4.1,4.0,3.3,4.0,4.0,3.8,5.0,4.0,4.0,4.0,4.0
5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,4,5,6,6,2,,,CRM_DIxtapaluca,3.5,4.8,4.7,5.0,5.0,4.9,5.0,4.5,4.5,4.0,5.0
5,4,4,5,5,5,5,4,4,5,4,3,4,3,5,5,5,4,4,2,4,4,4,5,4,3,2,,,CRM_DIxtapaluca,3.7,3.8,4.3,4.3,5.0,4.5,5.0,4.3,4.5,4.0,4.5
5,5,4,5,5,5,4,4,4,5,5,5,4,4,4,3,4,3,4,4,4,4,4,4,5,4,1,,,CRM_DIxtapaluca,3.9,4.6,4.7,4.0,5.0,4.5,3.7,4.0,4.0,4.0,4.0
5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,3,5,3,4,5,7,2,1,,,CRM_DIxtapaluca,4.8,4.8,5.0,4.7,5.0,4.9,5.0,4.3,4.5,3.5,5.0
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,1,,,CRM_DIxtapaluca,4.8,5.0,4.7,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0
4,3,4,3,5,2,4,4,3,4,4,3,3,2,3,3,3,2,4,4,5,3,3,4,5,4,3,,,CRM_DIxtapaluca,3.5,3.2,3.7,3.7,4.0,3.8,3.0,3.2,2.0,3.0,4.5
5,5,5,4,4,5,5,4,3,5,5,5,4,3,5,5,5,4,5,4,4,2,2,5,6,2,2,,,CRM_DIxtapaluca,4.3,4.4,5.0,4.0,4.0,4.4,5.0,3.7,4.5,2.0,4.5
5,5,5,5,4,5,3,5,5,5,5,5,5,3,5,5,5,5,5,2,5,5,5,5,7,2,1,,,CRM_DIxtapaluca,4.8,4.6,5.0,4.3,4.5,4.6,5.0,5.0,5.0,5.0,5.0
3,5,3,4,4,4,4,4,3,4,5,4,4,4,2,3,3,3,5,3,4,3,3,4,5,4,4,,,CRM_DIxtapaluca,3.2,4.2,3.7,3.7,4.0,3.8,2.7,3.5,3.5,3.0,4.0
5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,2,5,4,5,5,6,1,1,,,CRM_DIxtapaluca,4.8,4.8,4.7,4.7,5.0,4.8,5.0,4.8,5.0,4.5,5.0
5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,3,4,3,4,5,5,5,6,3,2,,,CRM_DIxtapaluca,4.1,4.8,4.7,4.3,5.0,4.6,5.0,4.5,4.0,5.0,4.5
2,4,2,3,4,4,2,2,4,2,4,4,4,4,3,2,1,2,2,4,2,2,2,5,5,6,6,,,CRM_DIxtapaluca,2.3,3.6,2.7,2.7,3.5,2.9,2.0,2.8,3.0,2.0,3.5
3,3,3,4,3,4,4,3,4,3,5,5,4,3,5,5,5,5,5,5,3,3,3,3,4,5,5,,,CRM_DIxtapaluca,2.5,4.0,3.0,3.7,3.5,3.4,5.0,3.5,4.5,3.0,3.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,,,CRM_DIxtapaluca,2.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,4,3,4,5,4,3,4,5,4,3,3,5,3,5,4,5,4,3,4,5,1,1,5,7,4,3,,,CRM_DIxtapaluca,3.9,3.6,3.0,4.0,4.5,3.8,4.7,3.3,4.0,1.0,5.0
5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,1,1,,,CRM_DIxtapaluca,4.3,4.8,4.7,4.7,5.0,4.8,5.0,4.8,5.0,5.0,4.5
4,5,5,4,5,4,4,4,3,4,4,5,4,4,3,3,3,4,5,3,4,5,4,5,5,3,4,,,LtC Part II - Team Moti,3.5,4.2,4.7,3.7,4.5,4.2,3.0,4.3,4.0,4.5,4.5
4,5,4,4,4,5,4,4,4,5,5,5,4,5,3,4,5,4,5,2,5,5,5,5,5,5,4,,,LtC Part II - Team Moti,3.0,4.8,4.3,4.0,4.0,4.1,4.0,4.8,4.5,5.0,5.0
4,5,4,5,5,5,4,4,3,5,2,5,5,4,4,4,5,2,5,2,4,4,4,2,6,4,5,,,LtC Part II - Team Moti,3.2,4.2,4.3,3.7,5.0,4.2,4.3,3.5,3.5,4.0,3.0
4,4,4,5,5,5,5,4,4,4,4,4,4,4,2,1,1,5,4,4,3,5,5,4,4,5,6,,,LtC Part II - Team Moti,2.3,4.0,4.0,4.3,5.0,4.4,1.3,4.5,5.0,5.0,3.5
5,4,5,4,4,5,5,5,4,4,4,4,5,4,4,5,5,5,5,2,4,4,4,5,5,3,3,,,LtC Part II - Team Moti,3.7,4.2,4.7,4.7,4.0,4.5,4.7,4.5,5.0,4.0,4.5
4,3,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,4,5,3,3,5,3,3,4,4,4,,,LtC Part II - Team Moti,3.0,3.6,3.7,3.3,4.0,3.6,3.0,3.7,4.0,4.0,3.0
2,3,3,4,4,4,4,5,4,4,4,5,5,4,2,2,3,3,4,4,5,2,4,4,6,4,4,,,MX-MEXICO-LA PERLA-EQUIPO2,3.5,4.4,2.7,4.3,4.0,3.6,2.3,3.7,3.5,3.0,4.5
4,5,4,4,5,5,5,5,4,5,5,5,5,4,5,4,5,3,4,4,5,4,4,4,6,2,2,,,MX-MEXICO-LA PERLA-EQUIPO2,4.3,4.8,4.3,4.7,4.5,4.5,4.7,4.2,4.0,4.0,4.5
5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,2,2,,,MX-MEXICO-LA PERLA-EQUIPO2,3.9,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5,4,3,3,5,1,4,4,5,4,5,4,3,3,3,5,4,1,3,5,3,3,5,5,3,4,,,MX-MEXICO-LA PERLA-EQUIPO2,3.5,4.2,3.7,3.0,3.0,3.2,3.7,4.2,4.5,3.0,5.0
4,4,4,3,5,5,4,4,3,4,5,3,4,3,5,5,5,3,3,3,4,5,5,5,6,4,5,,,MX-MEXICO-LA PERLA-EQUIPO2,3.2,3.8,4.0,3.7,4.0,3.9,5.0,4.5,4.0,5.0,4.5
3,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,4,5,4,4,5,7,4,2,,,MX-MEXICO-LA PERLA-EQUIPO2,4.1,4.6,4.0,4.7,5.0,4.5,4.7,4.7,5.0,4.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,5,7,2,1,,,MX-MEXICO-LA PERLA-EQUIPO2,4.8,4.8,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
4,4,5,5,5,4,3,4,3,4,4,3,3,3,3,4,3,5,4,3,4,4,4,5,5,2,2,,,MX-MEXICO-LA PERLA-EQUIPO2,4.1,3.4,4.3,3.3,5.0,4.1,3.3,4.3,4.5,4.0,4.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,7,2,1,,,MX-MEXICO-LA PERLA-EQUIPO2,4.8,5.0,5.0,5.0,5.0,5.0,4.7,5.0,5.0,5.0,5.0
4,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,3,2,5,5,5,5,5,2,3,,,MX-MEXICO-LA PERLA-EQUIPO2,3.9,4.4,4.7,4.7,4.0,4.5,5.0,5.0,5.0,5.0,5.0
4,4,4,5,5,5,4,4,4,5,5,4,5,4,4,4,4,4,3,3,5,3,3,5,7,1,1,,,MX-MEXICO-LA PERLA-EQUIPO2,5.0,4.6,4.0,4.0,5.0,4.2,4.0,4.2,4.5,3.0,5.0
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,3,1,,,MX-MEXICO-LA PERLA-EQUIPO2,4.5,5.0,4.7,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0
5,4,5,4,4,4,4,4,3,4,3,4,4,2,4,4,4,4,4,2,4,2,2,2,6,5,6,,,MX-MEXICO-LA PERLA-EQUIPO2,2.8,3.4,4.7,3.7,4.0,4.1,4.0,3.0,4.0,2.0,3.0
3,2,4,3,4,4,4,4,3,4,3,2,4,4,2,2,3,3,4,4,4,2,2,4,5,4,4,,,MX-MEXICO-LA PERLA-EQUIPO2,3.2,3.4,3.0,3.7,3.5,3.4,2.3,3.2,3.5,2.0,4.0
2,4,3,5,5,5,3,4,3,4,5,5,5,3,3,4,3,5,3,2,3,3,2,5,6,6,6,,,MX-MEXICO-LA PERLA-EQUIPO2,2.5,4.4,3.0,3.3,5.0,3.6,3.3,3.8,5.0,2.5,4.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,,,MX-MEXICO-LA PERLA-EQUIPO2,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,3,3,1,7,4,4,,,MX-MEXICO-LA PERLA-EQUIPO2,3.7,1.0,1.0,1.0,1.0,1.0,2.3,1.7,1.0,3.0,1.0
5,4,5,4,5,5,4,5,3,2,4,4,4,2,4,4,4,4,5,5,4,1,4,5,4,3,2,,,Socorros Remunerados,3.7,3.2,4.7,4.0,4.5,4.4,4.0,3.8,4.5,2.5,4.5
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,7,4,1,,,Socorros Remunerados,4.3,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,4,5,5,5,4,4,3,4,5,5,5,5,5,5,4,4,4,3,4,2,4,4,7,4,4,,,Socorros Remunerados,3.7,4.8,4.7,3.7,5.0,4.4,4.7,3.8,4.5,3.0,4.0
3,2,3,5,4,5,3,3,2,2,4,2,3,3,3,3,3,3,2,3,4,1,1,4,4,5,5,,,Socorros Remunerados,2.5,2.8,2.7,2.7,4.5,3.1,3.0,3.0,4.0,1.0,4.0
2,2,1,4,3,3,2,2,3,2,4,4,4,4,1,1,1,3,3,4,4,2,2,4,4,4,4,,,Socorros Remunerados,3.0,3.6,1.7,2.3,3.5,2.4,1.0,3.0,3.0,2.0,4.0
4,5,2,3,5,5,5,1,4,2,5,5,3,5,1,1,1,3,5,5,5,4,2,4,6,2,1,,,Socorros Remunerados,4.5,4.0,3.7,3.3,4.0,3.6,1.0,3.8,4.0,3.0,4.5
5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,3,3,5,3,3,5,7,2,1,,,Socorros Remunerados,4.8,4.8,5.0,5.0,4.5,4.9,5.0,4.2,4.5,3.0,5.0
5,5,5,5,5,4,3,4,3,4,2,1,4,4,4,4,5,3,2,2,3,2,2,5,7,4,4,,,Socorros Remunerados,3.7,3.0,5.0,3.3,5.0,4.4,4.3,3.2,3.5,2.0,4.0
4,4,1,5,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,4,7,2,2,,,Socorros Remunerados,4.5,3.0,3.0,4.0,5.0,3.9,3.0,2.8,3.5,1.0,4.0
5,4,5,4,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,4,4,4,4,5,6,3,2,,,Socorros Remunerados,4.1,4.6,4.7,4.7,4.5,4.6,4.7,4.5,5.0,4.0,4.5
1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,6,2,1,,,Socorros Remunerados,4.5,1.0,1.0,1.7,1.0,1.2,1.3,1.5,1.5,2.0,1.0
4,4,5,5,5,5,5,5,5,5,5,2,5,4,5,4,4,4,4,3,5,4,4,5,6,5,2,,,Administración,3.7,4.2,4.3,5.0,5.0,4.8,4.3,4.5,4.5,4.0,5.0
4,4,4,3,4,5,2,4,2,4,3,4,4,3,4,4,4,5,4,5,4,2,2,4,4,4,4,,,Administración,3.0,3.6,4.0,2.7,3.5,3.4,4.0,3.7,5.0,2.0,4.0
4,2,4,4,5,5,3,4,3,4,5,5,5,4,4,2,4,4,4,4,3,4,4,4,5,4,4,,,Administración,3.2,4.6,3.3,3.3,4.5,3.6,3.3,4.0,4.5,4.0,3.5
5,5,4,5,5,3,4,4,4,4,5,3,4,4,3,2,3,4,4,2,2,2,2,3,4,4,4,,,Administración,3.0,4.0,4.7,4.0,5.0,4.5,2.7,2.7,3.5,2.0,2.5
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,7,2,1,,,Administración,4.8,5.0,5.0,4.7,5.0,4.9,5.0,4.8,4.5,5.0,5.0
5,5,5,4,5,4,2,5,1,4,1,4,4,1,2,2,5,2,1,5,3,1,2,5,5,6,2,,,Administración,3.2,2.8,5.0,2.7,4.5,4.0,3.0,2.8,3.0,1.5,4.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,1,,,Administración,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,4,4,5,5,5,4,4,3,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,7,3,1,,,Administración,4.5,4.8,4.0,3.7,5.0,4.1,4.0,4.5,4.5,4.0,5.0
5,4,3,5,5,3,5,5,3,4,3,4,3,3,5,3,3,3,4,3,3,3,2,4,5,3,2,,,Administración,3.9,3.4,4.0,4.3,5.0,4.4,3.7,3.0,3.0,2.5,3.5
2,4,1,5,5,2,2,4,3,4,4,4,4,2,2,1,4,4,5,3,5,2,2,1,5,4,3,,,Administración,3.5,3.6,2.3,3.0,5.0,3.2,2.3,2.7,3.0,2.0,3.0
4,4,3,4,5,4,4,4,4,3,5,5,5,4,3,4,2,4,4,3,5,3,3,5,6,3,3,,,Administración,3.9,4.4,3.7,4.0,4.5,4.0,3.0,4.0,4.0,3.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,7,1,1,,,Administración,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.7,5.0,5.0,4.0
5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,5,5,5,6,1,1,,,Administración,4.8,4.8,5.0,5.0,5.0,5.0,5.0,4.7,5.0,5.0,4.0
4,4,4,5,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,3,3,3,4,5,4,4,,,Administración,3.2,3.8,4.0,4.0,5.0,4.2,4.3,3.3,3.5,3.0,3.5
5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6,3,2,,,Administración,4.1,5.0,5.0,5.0,5.0,5.0,5.0,4.7,4.0,5.0,5.0
5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,7,4,1,,,Administración,4.3,4.8,5.0,4.7,4.5,4.8,4.7,4.7,5.0,4.0,5.0
3,5,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,3,4,3,3,5,5,4,7,5,2,,,Administración,3.9,4.4,4.3,4.7,5.0,4.6,5.0,4.2,4.0,5.0,3.5
5,5,4,5,5,5,4,5,4,5,5,4,5,5,4,3,5,5,4,5,5,4,4,5,7,4,2,,,Administración,4.1,4.8,4.7,4.3,5.0,4.6,4.0,4.7,5.0,4.0,5.0
5,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,4,5,3,5,4,4,3,5,4,2,,,Área Médica,3.7,4.4,5.0,4.3,5.0,4.8,5.0,4.2,4.5,4.0,4.0
5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,7,2,1,,,Área Médica,4.8,5.0,5.0,5.0,5.0,5.0,4.7,4.8,4.5,5.0,5.0
5,5,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,4,5,3,5,5,5,5,7,4,2,,,Área Médica,4.1,4.4,5.0,4.7,5.0,4.9,5.0,4.7,4.0,5.0,5.0
5,5,5,4,4,4,5,3,4,5,4,4,4,3,5,5,5,5,5,5,4,1,1,4,6,3,2,,,Área Médica,4.1,4.0,5.0,4.0,4.0,4.4,5.0,3.2,4.5,1.0,4.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,,,Área Médica,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,7,1,1,,,Área Médica,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,5,5,5,4,5,5,5,3,5,4,4,5,3,4,4,4,5,5,3,3,4,4,5,6,4,3,,,Área Médica,3.7,4.2,4.3,4.3,4.5,4.4,4.0,4.3,5.0,4.0,4.0
4,3,5,4,4,5,5,3,4,4,4,5,5,3,4,4,4,5,5,2,3,5,4,3,5,4,4,,,undconsorten,3.2,4.2,4.0,4.0,4.0,4.0,4.0,4.2,5.0,4.5,3.0
5,4,5,5,4,5,5,3,5,4,4,3,5,5,5,5,5,3,5,1,3,5,5,3,5,6,5,,,undconsorten,2.5,4.2,4.7,4.3,4.5,4.5,5.0,4.0,4.0,5.0,3.0
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,4,5,5,5,6,2,2,,,undconsorten,4.3,4.8,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5.0,4.5
5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,5,2,2,5,5,4,6,5,4,,,undconsorten,3.2,4.6,4.7,5.0,4.5,4.8,4.3,4.3,5.0,5.0,3.0
4,3,4,5,4,5,4,5,5,4,5,3,5,4,2,4,4,4,5,4,2,4,3,4,3,6,4,,,undconsorten,2.3,4.2,3.7,4.7,4.5,4.2,3.3,3.7,4.5,3.5,3.0
4,4,5,4,4,5,5,4,5,5,4,5,5,4,4,4,5,4,5,2,3,5,4,4,6,3,4,,,undconsorten,3.7,4.6,4.3,4.7,4.0,4.4,4.3,4.2,4.5,4.5,3.5
3,4,4,3,3,4,4,4,3,3,4,4,4,4,2,3,3,4,4,3,4,5,5,5,4,4,4,,,undconsorten,3.0,3.8,3.7,3.7,3.0,3.5,2.7,4.5,4.0,5.0,4.5
5,4,5,4,3,5,5,5,5,4,5,5,4,5,4,4,4,5,5,3,2,4,4,5,5,5,4,,,undconsorten,3.0,4.6,4.7,5.0,3.5,4.5,4.0,4.2,5.0,4.0,3.5
5,4,5,5,4,5,5,3,5,5,4,4,5,4,4,5,5,4,5,2,3,5,5,5,6,4,3,,,undconsorten,3.7,4.4,4.7,4.3,4.5,4.5,4.7,4.5,4.5,5.0,4.0
5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,3,5,2,4,5,5,4,6,1,2,,,undconsorten,4.5,4.8,5.0,4.3,5.0,4.8,5.0,4.2,3.5,5.0,4.0
5,3,5,4,4,4,5,3,4,4,4,4,5,4,5,5,4,4,5,2,2,5,4,3,5,5,5,,,undconsorten,2.8,4.2,4.3,4.0,4.0,4.1,4.7,3.7,4.0,4.5,2.5
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,6,4,3,,,undconsorten,3.7,5.0,4.7,5.0,5.0,4.9,5.0,4.8,5.0,5.0,4.5
5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,2,4,5,5,4,6,3,3,,,undconsorten,3.9,4.8,4.7,5.0,5.0,4.9,4.7,4.7,5.0,5.0,4.0
5,3,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,2,4,5,5,5,6,4,2,,,undconsorten,3.9,4.6,4.3,5.0,4.5,4.6,5.0,4.7,4.5,5.0,4.5
5,4,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,1,2,4,4,4,4,5,4,,,undconsorten,2.8,4.6,4.7,5.0,4.0,4.6,5.0,4.0,5.0,4.0,3.0
2,4,4,3,3,5,4,2,3,4,5,4,5,3,2,5,4,4,5,4,3,4,3,5,4,5,4,,,undconsorten,2.8,4.2,3.3,3.0,3.0,3.1,3.7,4.0,4.5,3.5,4.0
4,4,4,5,5,3,4,4,2,4,3,4,4,3,2,4,3,4,5,4,2,3,3,4,5,6,5,,,undconsorten,2.5,3.6,4.0,3.3,5.0,4.0,3.0,3.2,3.5,3.0,3.0
4,4,4,4,4,5,4,4,5,5,5,5,4,3,4,3,4,4,4,2,2,5,5,4,4,4,2,,,undconsorten,3.5,4.4,4.0,4.3,4.0,4.1,3.7,4.2,4.5,5.0,3.0
4,4,5,4,4,5,5,4,4,4,5,5,5,4,5,5,5,4,5,3,3,4,4,4,6,4,2,,,undconsorten,3.9,4.6,4.3,4.3,4.0,4.2,5.0,4.0,4.5,4.0,3.5
4,4,5,5,4,4,3,3,3,4,4,5,4,4,5,5,5,4,5,2,4,5,5,3,5,2,3,,,undconsorten,3.9,4.2,4.3,3.0,4.5,3.9,5.0,4.2,4.0,5.0,3.5
5,3,5,4,4,4,5,3,5,5,5,4,4,2,4,5,3,2,5,4,3,5,5,4,6,5,3,,,undconsorten,3.5,4.0,4.3,4.3,4.0,4.2,4.0,3.8,3.0,5.0,3.5
4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,Alpha,3.7,1.0,4.3,1.0,3.0,2.8,1.0,1.0,1.0,1.0,1.0
4,2,3,5,4,4,2,5,5,4,5,4,5,4,4,2,1,5,5,3,5,5,4,5,6,3,3,,,Alpha,3.9,4.4,3.0,4.0,4.5,3.8,2.3,4.7,4.5,4.5,5.0
5,4,5,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,4,6,4,4,,,Alpha,3.5,5.0,4.7,4.3,4.0,4.4,5.0,4.7,5.0,5.0,4.0
5,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,5,6,7,6,,,Alpha,2.3,4.4,4.7,5.0,4.0,4.6,4.0,4.5,4.5,4.5,4.5
5,4,5,4,4,4,5,5,5,4,5,5,5,4,4,5,5,5,5,2,4,3,3,5,6,4,4,,,VEE Superstars,3.5,4.6,4.7,5.0,4.0,4.6,4.7,4.0,4.5,3.0,4.5
5,5,5,3,4,5,4,4,5,5,4,5,3,4,4,5,5,4,5,2,3,4,3,4,5,4,3,,,VEE Superstars,3.5,4.2,5.0,4.3,3.5,4.4,4.7,3.8,4.5,3.5,3.5
4,4,4,4,5,5,5,5,5,4,2,3,4,4,2,3,4,1,2,2,4,5,5,5,6,3,4,,,VEE Superstars,3.7,3.4,4.0,5.0,4.5,4.5,3.0,4.2,3.0,5.0,4.5
5,5,4,4,5,5,4,4,5,5,5,5,5,4,5,5,4,3,5,3,5,5,4,5,7,4,4,,,VEE Superstars,3.7,4.8,4.7,4.3,4.5,4.5,4.7,4.5,4.0,4.5,5.0
5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,2,5,4,4,4,5,6,4,,,VEE Superstars,2.8,4.4,4.3,4.0,4.0,4.1,4.3,4.3,4.5,4.0,4.5
5,5,5,4,4,3,4,3,4,4,4,5,4,5,5,5,5,3,5,3,4,3,3,3,6,2,2,,,VEE Superstars,4.3,4.4,5.0,3.7,4.0,4.2,5.0,3.2,3.0,3.0,3.5
5,4,4,4,4,5,4,5,5,4,5,5,5,4,2,2,2,5,5,1,4,1,1,5,4,5,4,,,VEE Superstars,2.8,4.6,4.3,4.7,4.0,4.4,2.0,3.5,5.0,1.0,4.5
5,3,5,4,4,5,4,4,5,5,4,4,4,4,4,5,5,4,5,2,4,2,2,5,5,5,5,,,VEE Superstars,2.8,4.2,4.3,4.3,4.0,4.2,4.7,3.7,4.5,2.0,4.5
5,4,5,5,4,5,5,5,4,5,5,5,5,3,5,5,5,4,5,2,4,4,4,5,6,4,4,,,VEE Superstars,3.5,4.6,4.7,4.7,4.5,4.6,5.0,4.3,4.5,4.0,4.5
5,4,4,5,5,4,4,3,4,4,4,5,4,4,4,2,2,3,4,3,3,1,1,5,7,2,1,,,Learning to Change CRCS Team,4.8,4.2,4.3,3.7,5.0,4.2,2.7,2.8,3.5,1.0,4.0
5,5,4,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,6,2,2,,,Learning to Change CRCS Team,4.3,3.8,4.7,4.0,5.0,4.5,4.0,4.3,4.5,4.5,4.0
2,3,2,5,5,1,2,3,4,3,4,3,2,4,5,5,5,3,5,3,5,4,4,4,4,2,2,,,Learning to Change CRCS Team,3.9,3.2,2.3,3.0,5.0,3.2,5.0,3.5,2.0,4.0,4.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,5,4,4,,,Learning to Change CRCS Team,3.2,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.0,4.0
4,3,5,3,4,5,5,4,4,4,5,3,5,5,5,3,5,5,4,3,3,3,4,4,4,1,1,,,Learning to Change CRCS Team,4.3,4.4,4.0,4.3,3.5,4.0,4.3,4.0,5.0,3.5,3.5
4,4,5,5,1,5,5,5,5,5,5,3,4,4,4,5,4,4,5,3,5,2,2,5,7,3,3,,,Learning to Change CRCS Team,4.1,4.2,4.3,5.0,3.0,4.2,4.3,3.8,4.5,2.0,5.0
4,4,4,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,5,6,5,6,,,Learning to Change CRCS Team,2.8,4.6,4.0,5.0,5.0,4.6,4.0,4.5,4.5,4.0,5.0
4,4,4,4,5,5,2,4,4,4,4,4,4,4,4,4,5,4,3,3,3,4,4,4,5,4,4,,,Administración,3.2,4.0,4.0,3.3,4.5,3.9,4.3,4.0,4.5,4.0,3.5
5,5,5,4,5,4,5,5,2,4,1,5,4,1,4,5,5,3,1,5,3,4,4,5,4,6,5,,,Administración,2.3,3.0,5.0,4.0,4.5,4.5,4.7,3.8,3.5,4.0,4.0
